latitude,longitude,locations
38.821546999999995,-77.00967199999994,0
38.83154699999999,-77.01967199999994,1
38.83154699999999,-77.00967199999994,2
38.83154699999999,-76.99967199999993,3
38.83154699999999,-76.98967199999993,4
38.84154699999999,-77.01967199999994,5
38.84154699999999,-77.00967199999994,6
38.84154699999999,-76.99967199999993,7
38.84154699999999,-76.98967199999993,8
38.85154699999999,-77.00967199999994,9
38.85154699999999,-76.98967199999993,10
38.85154699999999,-76.97967199999992,11
38.85154699999999,-76.96967199999992,12
38.86154699999999,-76.99967199999993,13
38.86154699999999,-76.98967199999993,14
38.86154699999999,-76.97967199999992,15
38.86154699999999,-76.96967199999992,16
38.86154699999999,-76.95967199999991,17
38.86154699999999,-76.94967199999991,18
38.871546999999985,-77.00967199999994,19
38.871546999999985,-76.97967199999992,20
38.871546999999985,-76.96967199999992,21
38.871546999999985,-76.95967199999991,22
38.871546999999985,-76.94967199999991,23
38.871546999999985,-76.9396719999999,24
38.88154699999998,-77.01967199999994,25
38.88154699999998,-76.99967199999993,26
38.88154699999998,-76.98967199999993,27
38.88154699999998,-76.95967199999991,28
38.88154699999998,-76.9396719999999,29
38.88154699999998,-76.9296719999999,30
38.89154699999998,-77.04967199999996,31
38.89154699999998,-76.99967199999993,32
38.89154699999998,-76.98967199999993,33
38.89154699999998,-76.97967199999992,34
38.89154699999998,-76.95967199999991,35
38.89154699999998,-76.94967199999991,36
38.89154699999998,-76.9396719999999,37
38.89154699999998,-76.9296719999999,38
38.89154699999998,-76.91967199999989,39
38.90154699999998,-77.05967199999996,40
38.90154699999998,-77.04967199999996,41
38.90154699999998,-77.03967199999995,42
38.90154699999998,-77.02967199999995,43
38.90154699999998,-77.01967199999994,44
38.90154699999998,-76.99967199999993,45
38.90154699999998,-76.98967199999993,46
38.90154699999998,-76.97967199999992,47
38.90154699999998,-76.96967199999992,48
38.90154699999998,-76.94967199999991,49
38.90154699999998,-76.9396719999999,50
38.90154699999998,-76.9296719999999,51
38.91154699999998,-77.08967199999998,52
38.91154699999998,-77.06967199999997,53
38.91154699999998,-77.05967199999996,54
38.91154699999998,-77.04967199999996,55
38.91154699999998,-77.03967199999995,56
38.91154699999998,-77.02967199999995,57
38.91154699999998,-77.01967199999994,58
38.91154699999998,-77.00967199999994,59
38.91154699999998,-76.98967199999993,60
38.91154699999998,-76.97967199999992,61
38.91154699999998,-76.9396719999999,62
38.921546999999975,-77.09967199999998,63
38.921546999999975,-77.08967199999998,64
38.921546999999975,-77.07967199999997,65
38.921546999999975,-77.06967199999997,66
38.921546999999975,-77.05967199999996,67
38.921546999999975,-77.03967199999995,68
38.921546999999975,-77.02967199999995,69
38.921546999999975,-77.00967199999994,70
38.921546999999975,-76.98967199999993,71
38.921546999999975,-76.97967199999992,72
38.921546999999975,-76.96967199999992,73
38.921546999999975,-76.95967199999991,74
38.93154699999997,-77.10967199999999,75
38.93154699999997,-77.09967199999998,76
