OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SqMiles
3639,0068011,1009,110010068011009,110010068011009,8326,0,38,38,5,33,0,0,0,0,0,0,0,0,2,5,31,0,0,0,0,0,0,0,0,33,5,28,0,0,0,0,0,0,0,0,1,5,27,0,0,0,0,0,0,0,0,13,13,0,1.952353,419.248966,7900.891625,0.003051
3640,0068011,1010,110010068011010,110010068011010,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003707,18.741191,15.003244,6e-06
3641,0068012,2000,110010068012000,110010068012000,15767,0,78,76,20,56,0,0,0,0,1,0,1,0,1,19,56,0,0,0,0,1,0,1,0,74,18,54,0,0,0,0,1,0,1,0,1,17,54,0,0,0,0,1,0,1,0,51,43,8,3.895638,502.132545,15765.089029,0.006087
3642,0068012,2001,110010068012001,110010068012001,15558,0,56,56,17,39,0,0,0,0,0,0,0,0,0,17,39,0,0,0,0,0,0,0,0,46,13,33,0,0,0,0,0,0,0,0,0,13,33,0,0,0,0,0,0,0,0,25,23,2,3.843989,498.792858,15556.070084,0.006006
3643,0068012,2002,110010068012002,110010068012002,14879,0,123,118,70,41,0,4,0,3,0,2,3,0,8,64,41,0,4,0,1,0,2,3,0,107,63,33,0,4,0,3,0,2,2,0,7,58,33,0,4,0,1,0,2,2,0,75,67,8,3.676271,487.032969,14877.34278,0.005744
3644,0068012,2003,110010068012003,110010068012003,15174,0,137,134,51,82,0,1,0,0,1,0,2,0,0,51,82,0,1,0,0,1,0,2,0,127,48,76,0,1,0,0,1,0,1,0,0,48,76,0,1,0,0,1,0,1,0,94,85,9,3.749104,493.051749,15172.085255,0.005858
3645,0068012,2004,110010068012004,110010068012004,18825,0,125,118,56,58,1,3,0,0,2,0,5,1,4,54,58,1,3,0,0,0,0,5,1,104,48,46,1,3,0,0,1,0,5,1,3,46,46,1,3,0,0,0,0,4,1,60,57,3,4.651303,567.02951,18823.156835,0.007268
3646,0068012,2005,110010068012005,110010068012005,10541,0,81,77,55,20,0,2,0,0,2,1,0,0,2,55,20,0,2,0,0,1,1,0,0,66,41,19,0,2,0,0,2,1,0,0,2,41,19,0,2,0,0,1,1,0,0,35,33,2,2.604474,434.090374,10539.93104,0.004069
3647,0068021,1000,110010068021000,110010068021000,12573,0,92,86,20,65,0,1,0,0,3,0,4,0,3,20,63,0,1,0,0,2,0,4,0,81,18,58,0,1,0,0,2,0,3,0,2,18,57,0,1,0,0,1,0,3,0,46,43,3,3.212398,508.209643,13000.111927,0.005019
3648,0068021,1001,110010068021001,110010068021001,20820,0,141,139,47,86,1,2,0,3,2,2,2,0,7,43,86,1,2,0,2,0,0,0,0,115,38,72,1,2,0,1,1,1,1,0,6,34,72,1,2,0,0,0,0,0,0,55,52,3,5.241751,579.921395,21212.614038,0.00819
