OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SqMiles
1,0003003,3006,110010003003006,110010003003006,98990,1948,251,244,216,7,0,19,0,2,0,0,2,0,27,191,7,0,19,0,0,0,0,2,0,202,181,4,0,14,0,2,0,0,1,0,21,162,4,0,14,0,0,0,0,1,0,119,103,18,24.939804,1907.308123,100927.807295,0.038968
2,0003003,3007,110010003003007,110010003003007,12878,0,24,24,24,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,14,12,2,3.181969,597.445971,12876.972074,0.004972
3,0003003,3008,110010003003008,110010003003008,4085,386,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1.104664,258.903386,4470.414655,0.001726
4,0003003,3009,110010003003009,110010003003009,24772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.120672,649.166608,24769.482273,0.009564
5,0003003,3010,110010003003010,110010003003010,12377,0,108,107,94,0,1,12,0,0,1,0,0,0,2,93,0,1,11,0,0,1,0,0,0,98,84,0,1,12,0,0,1,0,0,0,2,83,0,1,11,0,0,1,0,0,0,37,35,2,3.058173,445.535705,12375.986786,0.004778
6,0003003,3011,110010003003011,110010003003011,12376,0,130,128,117,6,0,5,0,0,1,1,1,0,10,107,6,0,5,0,0,1,1,1,0,123,110,6,0,5,0,0,1,1,1,0,9,101,6,0,5,0,0,1,1,1,0,41,38,3,3.057786,447.50314,12374.422018,0.004778
7,0003003,3012,110010003003012,110010003003012,12345,0,121,111,97,4,0,7,0,3,4,0,6,0,17,83,4,0,7,0,0,4,0,6,0,120,96,4,0,7,0,3,4,0,6,0,17,82,4,0,7,0,0,4,0,6,0,37,35,2,3.05024,446.673636,12343.884017,0.004766
8,0003003,3013,110010003003013,110010003003013,13379,0,118,116,105,2,0,7,0,2,0,0,2,0,11,97,1,0,7,0,0,0,0,2,0,110,97,2,0,7,0,2,0,0,2,0,7,93,1,0,7,0,0,0,0,2,0,38,34,4,3.30563,462.966938,13377.409066,0.005165
9,0003004,4000,110010003004000,110010003004000,21954,0,138,136,129,4,1,0,0,2,0,0,2,0,10,121,4,0,0,0,1,0,0,2,0,120,111,4,1,0,0,2,0,0,2,0,9,104,4,0,0,0,1,0,0,2,0,54,51,3,5.424441,824.679552,21951.935523,0.008476
10,0003004,4001,110010003004001,110010003004001,20186,0,218,212,199,4,0,9,0,0,1,1,3,0,9,191,4,0,9,0,0,1,1,3,0,184,168,4,0,9,0,0,0,1,1,0,5,164,4,0,9,0,0,0,1,1,0,74,73,1,4.987468,619.73336,20183.565942,0.007793
11,0003004,4002,110010003004002,110010003004002,15484,0,172,167,164,0,0,1,0,2,1,0,1,0,9,160,0,0,1,0,0,1,0,1,0,153,145,0,0,1,0,2,1,0,1,0,9,141,0,0,1,0,0,1,0,1,0,63,60,3,3.825693,562.958008,15482.029384,0.005978
12,0003004,4003,110010003004003,110010003004003,8460,0,105,104,102,0,0,2,0,0,0,0,1,0,2,100,0,0,2,0,0,0,0,1,0,88,85,0,0,2,0,0,0,0,1,0,2,83,0,0,2,0,0,0,0,1,0,38,38,0,2.090372,397.375,8459.434188,0.003266
13,0003004,4004,110010003004004,110010003004004,10272,0,97,93,75,1,0,16,0,1,0,0,3,2,6,71,1,0,16,0,0,0,0,3,2,84,66,1,0,13,0,1,0,0,2,2,5,63,1,0,13,0,0,0,0,2,2,43,41,2,2.538125,435.836403,10271.42942,0.003966
14,0003004,4005,110010003004005,110010003004005,17732,0,166,166,159,2,0,4,0,1,0,0,0,0,8,152,2,0,4,0,0,0,0,0,0,141,135,2,0,3,0,1,0,0,0,0,6,130,2,0,3,0,0,0,0,0,0,67,65,2,4.38136,620.936169,17730.733753,0.006846
15,0003004,4006,110010003004006,110010003004006,12145,0,141,135,128,0,0,7,0,0,0,0,3,3,2,126,0,0,7,0,0,0,0,3,3,117,108,0,0,7,0,0,0,0,1,1,2,106,0,0,7,0,0,0,0,1,1,55,54,1,3.000917,505.334499,12144.27869,0.004689
16,0003004,4007,110010003004007,110010003004007,14498,0,137,137,123,3,0,6,0,5,0,0,0,0,11,117,3,0,6,0,0,0,0,0,0,109,100,1,0,5,0,3,0,0,0,0,7,96,1,0,5,0,0,0,0,0,0,51,48,3,3.582172,523.213494,14496.536896,0.005597
17,0003004,4008,110010003004008,110010003004008,12912,0,120,117,113,2,1,1,0,0,0,0,3,0,3,110,2,1,1,0,0,0,0,3,0,101,95,2,0,1,0,0,0,0,3,0,3,92,2,0,1,0,0,0,0,3,0,50,47,3,3.19024,467.197239,12910.443335,0.004985
18,0003004,4009,110010003004009,110010003004009,14807,0,137,133,120,2,0,11,0,0,1,1,3,0,4,116,2,0,11,0,0,1,1,3,0,116,101,2,0,11,0,0,1,1,1,0,4,97,2,0,11,0,0,1,1,1,0,52,51,1,3.658421,511.76608,14805.105447,0.005716
19,0003004,4010,110010003004010,110010003004010,12491,0,135,131,123,1,0,5,0,2,2,1,2,0,5,120,1,0,5,0,0,2,1,2,0,120,111,1,0,3,0,2,2,1,1,0,4,109,1,0,3,0,0,2,1,1,0,54,54,0,3.086211,484.015357,12489.452081,0.004822
20,0003004,4011,110010003004011,110010003004011,2824,0,8,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,4,0,0.697829,218.891783,2824.012795,0.00109
21,0004001,1000,110010004001000,110010004001000,255797,0,6,6,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,63.202307,1982.552516,255770.663872,0.098754
22,0004001,1001,110010004001001,110010004001001,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099477,97.596093,402.571045,0.000155
23,0004001,1002,110010004001002,110010004001002,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553999,228.477519,2241.955131,0.000866
24,0004001,1003,110010004001003,110010004001003,12311,0,21,21,21,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,10,9,1,3.041851,454.821968,12309.933154,0.004753
25,0004001,1004,110010004001004,110010004001004,15288,0,31,31,31,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,13,11,2,3.777372,503.579646,15286.480385,0.005902
26,0004001,1005,110010004001005,110010004001005,7521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.858313,385.140603,7520.32558,0.002904
27,0004001,1006,110010004001006,110010004001006,14559,0,49,49,49,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,16,15,1,3.597188,493.55262,14557.30254,0.005621
28,0004001,1007,110010004001007,110010004001007,14568,0,38,37,36,1,0,0,0,0,0,0,1,0,1,35,1,0,0,0,0,0,0,1,0,29,27,1,0,0,0,0,0,0,1,0,1,26,1,0,0,0,0,0,0,1,0,16,14,2,3.599499,494.377273,14566.656976,0.005624
29,0004001,1008,110010004001008,110010004001008,25290,0,41,41,34,7,0,0,0,0,0,0,0,0,3,31,7,0,0,0,0,0,0,0,0,31,26,5,0,0,0,0,0,0,0,0,3,23,5,0,0,0,0,0,0,0,0,12,12,0,6.248751,636.673209,25287.798558,0.009764
30,0004001,1009,110010004001009,110010004001009,3809,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.941059,297.672162,3808.331592,0.00147
31,0004001,1010,110010004001010,110010004001010,5104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.261197,336.325021,5103.884209,0.001971
32,0004001,1011,110010004001011,110010004001011,14755,0,14,14,13,0,0,1,0,0,0,0,0,0,2,11,0,0,1,0,0,0,0,0,0,13,12,0,0,1,0,0,0,0,0,0,2,10,0,0,1,0,0,0,0,0,0,8,6,2,3.645765,570.877189,14753.887427,0.005697
33,0004001,1012,110010004001012,110010004001012,14563,0,41,41,37,0,0,1,0,3,0,0,0,0,5,32,0,0,1,0,3,0,0,0,0,34,30,0,0,1,0,3,0,0,0,0,3,27,0,0,1,0,3,0,0,0,0,15,15,0,3.598357,508.006721,14562.036149,0.005622
34,0004001,1013,110010004001013,110010004001013,16109,0,57,56,54,0,0,2,0,0,0,0,1,1,6,48,0,0,2,0,0,0,0,1,1,39,36,0,0,2,0,0,0,0,1,1,1,35,0,0,2,0,0,0,0,1,1,18,17,1,3.980215,524.413908,16107.359305,0.006219
35,0004001,1014,110010004001014,110010004001014,16775,0,48,48,42,0,0,6,0,0,0,0,0,0,2,40,0,0,6,0,0,0,0,0,0,44,38,0,0,6,0,0,0,0,0,0,2,36,0,0,6,0,0,0,0,0,0,16,15,1,4.14485,533.869009,16773.614571,0.006476
36,0004001,1015,110010004001015,110010004001015,12160,0,43,42,42,0,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,0,1,0,33,32,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,1,0,12,12,0,3.004809,442.347531,12160.032187,0.004695
37,0004001,1016,110010004001016,110010004001016,11679,0,33,33,32,1,0,0,0,0,0,0,0,0,5,27,1,0,0,0,0,0,0,0,0,26,25,1,0,0,0,0,0,0,0,0,4,21,1,0,0,0,0,0,0,0,0,12,12,0,2.885744,433.957475,11678.193402,0.004509
38,0004001,1017,110010004001017,110010004001017,27695,0,43,43,40,0,0,3,0,0,0,0,0,0,2,38,0,0,3,0,0,0,0,0,0,34,31,0,0,3,0,0,0,0,0,0,2,29,0,0,3,0,0,0,0,0,0,17,16,1,6.842933,793.227831,27692.367384,0.010692
39,0004001,1018,110010004001018,110010004001018,13898,0,19,19,13,0,0,6,0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,13,7,0,0,6,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,5,5,0,3.43384,500.71708,13896.256175,0.005365
40,0004001,1019,110010004001019,110010004001019,19429,0,30,30,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,13,13,0,4.800514,598.452893,19426.989503,0.007501
41,0004001,1020,110010004001020,110010004001020,23176,0,111,110,88,11,1,6,0,4,0,0,1,0,10,80,11,0,6,0,3,0,0,1,0,96,78,8,1,6,0,3,0,0,0,0,10,70,8,0,6,0,2,0,0,0,0,57,53,4,5.726331,618.549942,23173.639304,0.008947
42,0004001,1021,110010004001021,110010004001021,9028,0,28,28,28,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,15,14,1,2.230732,421.244377,9027.453202,0.003486
43,0004001,1022,110010004001022,110010004001022,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160411,113.644914,649.159622,0.000251
44,0004002,2000,110010004002000,110010004002000,10539,0,17,17,15,0,0,2,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,12,10,0,0,2,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,6,6,0,2.604013,418.419375,10538.068094,0.004069
45,0004002,2001,110010004002001,110010004002001,53570,0,39,39,36,0,0,1,0,2,0,0,0,0,4,34,0,0,1,0,0,0,0,0,0,31,28,0,0,1,0,2,0,0,0,0,4,26,0,0,1,0,0,0,0,0,0,14,14,0,13.236226,1182.299213,53565.105474,0.020682
46,0004002,2002,110010004002002,110010004002002,17184,0,19,19,17,0,0,2,0,0,0,0,0,0,3,14,0,0,2,0,0,0,0,0,0,18,16,0,0,2,0,0,0,0,0,0,2,14,0,0,2,0,0,0,0,0,0,5,5,0,4.245932,575.497406,17182.676181,0.006634
47,0004002,2003,110010004002003,110010004002003,17709,0,21,19,17,0,1,1,0,0,0,0,2,0,0,17,0,1,1,0,0,0,0,2,0,16,14,0,1,1,0,0,0,0,0,0,0,14,0,1,1,0,0,0,0,0,0,10,9,1,4.375434,519.554827,17706.751631,0.006837
48,0004002,2004,110010004002004,110010004002004,55987,0,53,49,45,0,0,3,0,1,1,0,2,0,9,38,0,0,3,0,0,1,0,2,0,41,36,0,0,3,0,0,1,0,0,0,8,29,0,0,3,0,0,1,0,0,0,22,21,1,13.833435,1408.350942,55981.924669,0.021615
49,0004002,2005,110010004002005,110010004002005,20654,0,35,32,31,1,0,0,0,0,1,0,0,0,2,31,1,0,0,0,0,1,0,0,0,25,23,1,0,0,0,0,1,0,0,0,0,23,1,0,0,0,0,1,0,0,0,13,12,1,5.103207,620.434469,20651.946203,0.007974
50,0004002,2006,110010004002006,110010004002006,17584,0,37,37,36,0,0,1,0,0,0,0,0,0,0,36,0,0,1,0,0,0,0,0,0,33,32,0,0,1,0,0,0,0,0,0,0,32,0,0,1,0,0,0,0,0,0,11,10,1,4.344695,579.406895,17582.358195,0.006789
51,0004002,2007,110010004002007,110010004002007,23403,0,32,30,29,0,0,1,0,0,2,0,0,0,11,20,0,0,1,0,0,0,0,0,0,25,23,0,0,1,0,0,1,0,0,0,8,16,0,0,1,0,0,0,0,0,0,11,11,0,5.782402,609.831214,23400.549441,0.009035
52,0004002,2008,110010004002008,110010004002008,23788,0,40,40,40,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,12,12,0,5.877628,743.679291,23785.918046,0.009184
53,0004002,2009,110010004002009,110010004002009,133259,69,5,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,1,32.942903,2288.482826,133315.199432,0.051473
54,0004002,2010,110010004002010,110010004002010,46767,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,12.565443,964.147583,50850.545667,0.019634
55,0004002,2011,110010004002011,110010004002011,16312,0,19,19,11,0,0,8,0,0,0,0,0,0,1,10,0,0,8,0,0,0,0,0,0,15,7,0,0,8,0,0,0,0,0,0,1,6,0,0,8,0,0,0,0,0,0,6,5,1,4.03042,534.001996,16310.529776,0.006298
56,0004002,2012,110010004002012,110010004002012,22366,0,26,22,8,0,0,14,0,0,0,0,0,0,2,6,0,0,14,0,0,0,0,0,0,19,8,0,0,11,0,0,0,0,0,0,2,6,0,0,11,0,0,0,0,0,0,8,5,0,5.526186,645.154649,22363.68301,0.008635
57,0004002,2013,110010004002013,110010004002013,5265,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1.300967,494.859684,5264.826977,0.002033
58,0004002,2014,110010004002014,110010004002014,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.734896,337.197755,2974.0202,0.001148
59,0004002,2015,110010004002015,110010004002015,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298031,209.870727,1206.087256,0.000466
60,0004002,2016,110010004002016,110010004002016,78355,0,12,12,9,3,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,7,5,2,19.020917,1310.224337,76974.91862,0.02972
61,0004002,2017,110010004002017,110010004002017,45474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.889394,1051.303704,48114.669867,0.018577
62,0004002,2018,110010004002018,110010004002018,11089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.579061,420.175741,6390.233618,0.002467
63,0004002,2019,110010004002019,110010004002019,121352,0,4,4,3,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,9,2,7,25.708042,1471.668758,104036.755204,0.040169
64,0004002,2020,110010004002020,110010004002020,29542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.496615,819.311297,34384.580621,0.013276
65,0004002,2021,110010004002021,110010004002021,1103,0,3,5,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,2,0,0.272518,200.810296,1102.843076,0.000426
66,0004002,2022,110010004002022,110010004002022,4678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155872,482.018056,4677.649308,0.001806
67,0004002,2023,110010004002023,110010004002023,28655,0,23,18,18,0,0,0,0,0,2,2,3,0,0,18,0,0,0,0,0,2,2,3,0,14,10,0,0,0,0,0,1,1,3,0,0,10,0,0,0,0,0,1,1,3,0,7,6,1,7.080087,999.407202,28652.094414,0.011063
68,0004002,2024,110010004002024,110010004002024,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275602,202.829199,1115.320233,0.000431
69,0004002,2025,110010004002025,110010004002025,35055,0,47,47,29,5,0,3,0,10,0,0,0,0,8,26,4,0,3,0,6,0,0,0,0,40,25,3,0,3,0,9,0,0,0,0,8,22,2,0,3,0,5,0,0,0,0,16,16,0,8.661496,1084.329172,35051.830471,0.013534
70,0004002,2026,110010004002026,110010004002026,20846,0,62,61,57,0,0,4,0,0,0,0,1,0,4,53,0,0,4,0,0,0,0,1,0,50,45,0,0,4,0,0,0,0,1,0,3,42,0,0,4,0,0,0,0,1,0,33,25,8,5.150682,682.090572,20844.069105,0.008048
71,0004002,2027,110010004002027,110010004002027,25633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.333357,668.719543,25630.187054,0.009896
72,0004002,2028,110010004002028,110010004002028,7508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1.855168,569.40039,7507.596735,0.002899
73,0004002,2029,110010004002029,110010004002029,55986,0,305,299,240,16,0,37,0,6,3,0,3,0,27,220,16,0,37,0,0,2,0,3,0,297,232,16,0,37,0,6,3,0,3,0,26,213,16,0,37,0,0,2,0,3,0,236,225,11,13.833049,1169.762772,55980.363878,0.021614
74,0004002,2030,110010004002030,110010004002030,60949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.633632,1237.251608,71360.778283,0.027553
75,0005011,1000,110010005011000,110010005011000,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554058,226.232023,2242.194405,0.000866
76,0005011,1001,110010005011001,110010005011001,3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799288,371.942474,3234.60187,0.001249
77,0005011,1002,110010005011002,110010005011002,85332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.854475,2654.364439,96535.634968,0.037273
78,0005011,1003,110010005011003,110010005011003,2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001749,275.985253,4053.934741,0.001565
79,0005011,1004,110010005011004,110010005011004,385019,3407,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,92.908259,3646.780126,375986.386575,0.145169
80,0005011,1005,110010005011005,110010005011005,17104,0,319,313,282,6,0,24,0,1,1,0,5,0,27,256,6,0,24,0,0,1,0,5,0,303,269,5,0,22,0,1,1,0,5,0,22,248,5,0,22,0,0,1,0,5,0,172,160,12,4.226027,600.80242,17102.122625,0.006603
81,0005011,1006,110010005011006,110010005011006,13667,0,422,407,358,20,0,29,0,0,6,3,10,0,27,332,20,0,28,0,0,6,3,10,0,415,356,15,0,29,0,0,6,3,10,0,27,330,15,0,28,0,0,6,3,10,0,330,313,17,3.376941,567.784016,13665.99596,0.005276
82,0005011,1007,110010005011007,110010005011007,25281,0,215,204,181,3,0,16,0,4,2,0,9,0,11,174,3,0,16,0,0,2,0,9,0,183,162,2,0,12,0,4,0,0,3,0,11,155,2,0,12,0,0,0,0,3,0,89,87,2,6.246549,784.319403,25278.88855,0.00976
83,0005011,1008,110010005011008,110010005011008,1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450356,233.987534,1822.527712,0.000704
84,0005011,1009,110010005011009,110010005011009,10296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.543912,523.980994,10294.848088,0.003975
85,0005011,1010,110010005011010,110010005011010,14798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.656305,511.541276,14796.54255,0.005713
86,0005011,1011,110010005011011,110010005011011,22856,0,103,101,91,5,2,3,0,0,1,0,1,0,3,88,5,2,3,0,0,1,0,1,0,98,87,5,2,3,0,0,0,0,1,0,3,84,5,2,3,0,0,0,0,1,0,53,50,3,5.647274,689.758304,22853.707229,0.008824
87,0005011,1012,110010005011012,110010005011012,29905,0,672,657,543,51,5,39,1,18,4,6,8,0,50,517,49,1,39,1,3,2,4,8,0,630,517,49,3,33,1,14,4,6,6,0,41,495,47,1,33,1,2,2,4,6,0,342,321,21,7.38897,856.702484,29902.10005,0.011545
88,0005011,1013,110010005011013,110010005011013,9918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.450655,590.215836,9917.450366,0.003829
89,0005011,1014,110010005011014,110010005011014,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184643,132.783837,747.223089,0.000289
90,0005012,2000,110010005012000,110010005012000,123029,0,1559,1499,1315,38,0,137,0,9,18,9,31,3,112,1239,38,0,135,0,1,6,2,27,3,1482,1257,37,0,132,0,8,14,8,22,3,96,1192,37,0,130,0,0,4,2,20,3,1136,1041,95,30.398012,1455.977028,123016.388307,0.047497
91,0005012,2001,110010005012001,110010005012001,147497,27,78,78,77,0,0,1,0,0,0,0,0,0,0,77,0,0,1,0,0,0,0,0,0,78,77,0,0,1,0,0,0,0,0,0,0,77,0,0,1,0,0,0,0,0,0,61,52,9,36.450546,2472.489974,147510.128051,0.056954
92,0005012,2002,110010005012002,110010005012002,15222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.761068,552.55147,15220.500475,0.005877
93,0005012,2003,110010005012003,110010005012003,8820,0,4,4,2,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,0,2.17932,421.577771,8819.393383,0.003405
94,0005012,2004,110010005012004,110010005012004,5189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.282105,459.26984,5188.494645,0.002003
95,0005012,2005,110010005012005,110010005012005,16285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.023752,654.99731,16283.548621,0.006287
