OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013
1,001001,11001001001,7436,7168,6342,298,17,432,2,77,74,33,172,9,512,5925,295,9,427,2,22,61,28,164,8,5918,5097,249,14,365,2,65,38,23,71,8,387,4786,248,9,362,2,13,30,19,67,8,2834,2727,107,606.401784,0.947503,6507.906513,2454020.970143,441410751,114136.5,445020421,105423.5
2,001002,11001001002,3442,3329,2788,185,7,311,0,38,35,24,59,6,271,2564,178,5,311,0,9,32,24,56,5,3226,2637,165,7,297,0,33,24,22,44,6,241,2438,159,5,297,0,8,21,20,43,5,2342,2089,253,219.834053,0.343491,3952.278513,889636.856291,119559942,74658,134639759,76705
3,004001,11001004001,3745,3623,3237,139,5,162,8,72,33,26,60,5,345,2999,133,5,162,3,3,28,26,50,5,3486,3034,131,5,157,6,57,26,25,42,5,289,2825,130,5,157,3,2,23,19,40,5,2489,2305,184,68.162548,0.106504,2361.335362,275844.048416,203836328,72807,230295472,77629
4,004002,11001004002,2797,2720,2232,226,4,181,1,76,27,14,44,4,250,2088,209,2,179,1,3,22,12,41,4,2654,2135,209,3,170,1,67,24,15,41,3,227,1998,195,2,168,1,3,19,12,39,3,1916,1762,154,48.451481,0.075705,2132.734912,196076.188855,132421749,60460.5,170535365,65155
5,004100,11001004100,2708,2646,2261,115,9,181,3,77,29,13,23,1,259,2090,108,4,180,3,14,27,10,20,1,2482,2099,100,9,166,3,67,18,9,15,1,235,1940,94,4,165,3,10,17,8,13,1,1702,1494,208,201.868555,0.31542,3872.498178,816933.06228,403203164,87019,217573711,81283.5
6,004201,11001004201,3342,3250,2721,240,5,215,0,69,33,20,41,2,266,2544,236,3,214,0,6,28,17,38,2,3222,2638,220,5,210,0,66,30,19,36,1,251,2473,216,3,209,0,6,25,16,33,1,2259,2113,146,50.535095,0.078961,1842.645783,204508.273888,144465497,59325,195239173,69112
7,004202,11001004202,2771,2688,2281,129,10,216,3,49,19,12,50,7,215,2133,126,6,214,3,7,16,7,47,6,2691,2228,124,9,201,3,46,19,12,48,7,208,2083,121,6,199,3,6,16,7,45,6,1915,1787,128,51.493814,0.080459,2102.861146,208388.072347,120039686,60675,165982765,67958
8,004300,11001004300,3255,3164,1849,901,18,157,2,237,38,21,35,4,492,1642,889,12,149,2,6,29,17,32,4,2963,1795,767,13,150,2,159,33,21,29,4,387,1606,756,9,144,2,5,25,17,27,4,2084,1943,141,58.470836,0.091361,2045.425608,236623.079936,107576663,47515.5,161937053,56174
9,004400,11001004400,4572,4447,2989,1016,24,260,0,158,45,23,61,5,417,2778,982,18,259,0,15,42,20,57,5,4263,2876,886,21,248,0,129,37,24,49,5,366,2683,854,17,247,0,11,36,20,47,5,2651,2493,158,128.912788,0.201426,2944.721437,521691.548437,231491287,70297,325184107,77519
10,001100,11001001100,4779,4641,4012,290,9,273,6,51,41,18,88,1,306,3773,290,4,268,3,25,32,9,80,0,3980,3355,260,9,243,6,34,20,11,45,1,242,3162,260,4,238,3,13,18,7,38,0,2234,2118,116,414.253978,0.647272,5698.762332,1676426.380395,361630195,101389,326529055,88358
11,001200,11001001200,5008,4850,4073,272,18,388,3,96,57,23,76,5,399,3805,263,9,385,3,14,46,22,73,4,4338,3531,239,15,355,3,79,47,21,51,4,350,3293,230,7,352,3,8,38,21,48,3,2633,2516,117,300.997551,0.470309,4907.033192,1218093.87851,284024809,79665,304763968,74166.5
12,001301,11001001301,3955,3843,3047,374,7,357,0,58,41,13,67,1,290,2820,367,5,356,0,15,35,12,64,1,3477,2736,317,7,301,0,43,29,15,39,1,252,2534,311,5,301,0,8,25,12,39,1,2156,2030,126,705.111461,1.101737,8777.811293,2853484.862474,271817059,76361.5,240485097,66620
13,001302,11001001302,6857,6672,5596,379,13,595,2,87,40,28,122,9,483,5219,371,7,587,2,21,36,25,115,9,6589,5395,359,13,569,2,84,38,28,106,9,459,5038,351,7,561,2,21,34,23,102,9,5375,4795,580,393.41836,0.614716,6378.54781,1592107.626468,319818452,68999,405180643,73585
14,001401,11001001401,3078,2975,2541,178,5,198,0,53,37,15,55,4,210,2394,176,1,198,0,12,36,14,44,4,2419,1992,162,4,173,0,40,17,14,22,4,160,1873,160,1,173,0,9,16,13,19,4,1478,1415,63,194.781014,0.304345,4033.370295,788250.801151,230011349,91172.5,207763895,79863.5
15,001402,11001001402,2998,2921,2334,356,5,160,0,66,40,13,34,1,232,2182,350,4,159,0,7,36,8,31,1,2446,1881,316,5,141,0,54,25,11,20,1,189,1754,314,4,140,0,5,23,8,18,1,1612,1472,140,221.189282,0.345608,4867.514204,895121.269963,176059601,98926,181523449,102986
16,000502,11001000502,3189,3095,2720,95,15,192,0,73,26,17,56,1,271,2550,89,5,191,0,9,21,13,52,1,2786,2400,85,9,166,0,60,17,13,37,1,223,2258,80,4,165,0,4,15,10,36,1,1774,1643,131,143.678206,0.224497,4037.961014,581445.072597,248468359,76777,252908312,75829
17,003400,11001003400,4347,4152,576,3392,20,97,3,64,157,66,45,8,239,528,3295,8,90,3,16,143,61,40,5,3997,538,3129,15,86,3,53,140,59,40,8,200,500,3043,8,79,3,14,129,55,35,5,1347,1025,322,266.264201,0.416038,4800.865939,1077532.996601,53344073,39287,75037699,43117
18,003500,11001003500,3740,3594,626,2681,14,106,0,167,91,26,28,8,371,530,2620,11,106,0,7,70,24,25,7,3398,581,2444,13,104,0,131,85,26,23,8,292,508,2387,10,104,0,7,70,24,20,7,1189,964,225,94.352383,0.147426,2982.473558,381830.550237,46454657,30673.5,66239783,32859.5
19,003600,11001003600,4208,4048,1773,1645,13,161,0,456,58,39,44,11,809,1521,1604,8,158,0,14,49,20,41,9,3680,1691,1378,11,149,0,324,50,31,35,10,616,1473,1346,7,146,0,11,44,19,32,8,2308,1987,321,75.521648,0.118003,2293.46528,305625.267935,110621750,35858,161376203,42788.5
20,003700,11001003700,5763,5507,1915,2527,22,212,10,821,134,60,55,15,1514,1490,2405,13,206,7,16,65,34,45,7,4798,1782,1988,17,193,9,605,106,50,49,10,1125,1450,1906,9,188,6,15,55,26,41,7,2570,2401,169,72.231863,0.112862,2297.040644,292311.980827,103905996,32263,162058134,41387.5
21,003800,11001003800,4614,4419,2884,825,22,261,1,426,77,37,78,7,935,2456,796,10,257,1,26,59,27,68,3,4177,2726,729,18,240,1,313,53,35,64,6,738,2364,705,8,236,1,22,39,26,55,2,2861,2625,236,87.921652,0.137378,2708.295074,355806.303174,155960140,48799,209040361,54786
22,003900,11001003900,4474,4304,3285,563,21,225,4,206,88,43,59,3,553,2995,546,13,224,3,21,55,25,57,3,4225,3145,528,20,208,4,181,72,34,49,3,492,2884,511,13,207,3,17,46,24,47,3,2996,2806,190,99.080501,0.154813,3408.080644,400964.564908,155878056,51160,206237963,59470
23,006500,11001006500,2531,2469,2088,228,13,113,1,26,19,13,32,7,123,1999,222,11,112,1,10,17,9,31,6,2296,1913,212,11,97,1,18,11,8,25,5,102,1837,207,10,96,1,6,9,6,24,4,1543,1320,223,122.570172,0.191516,3386.495881,496023.890979,120078372,76911,138021124,79139
24,001500,11001001500,5911,5729,4877,643,7,145,2,55,67,34,97,8,304,4642,637,6,144,2,21,62,27,86,8,4371,3609,521,7,119,2,34,33,21,36,5,205,3444,517,6,118,2,15,31,16,30,5,2126,2081,45,1161.050947,1.814142,10650.327088,4698606.50898,505817116,135878,464768292,136868
25,001600,11001001600,3957,3799,997,2670,8,55,1,68,114,51,45,0,200,930,2621,4,55,0,15,104,45,37,0,3239,801,2255,6,48,1,42,59,41,19,0,136,756,2219,3,48,0,6,57,39,16,0,1685,1620,65,667.006081,1.042197,8627.683622,2699277.858554,239860892,88449.5,206050056,86508.5
26,001702,11001001702,2644,2519,1020,1342,6,79,1,71,94,34,29,2,212,918,1325,5,78,1,8,77,33,25,1,2273,888,1175,5,70,1,55,57,26,18,1,155,815,1162,4,69,1,6,45,25,17,1,1312,1230,82,229.815973,0.359087,4873.125958,930032.250284,85001437,53846.5,99172867,57746
27,000100,11001000100,4890,4808,4444,105,9,201,2,47,17,12,47,2,296,4202,101,8,198,2,15,16,10,43,2,4305,3924,93,8,184,2,33,11,12,30,2,257,3711,90,7,181,2,9,10,10,26,2,2999,2686,313,585.846014,0.915384,10028.236285,2370834.717974,551823378,89357,444019426,86101.5
28,000201,11001000201,3916,3736,2940,259,7,482,5,43,47,20,117,6,275,2740,249,4,480,5,7,40,16,115,6,3902,2931,259,7,478,5,43,47,20,116,6,272,2734,249,4,476,5,7,40,16,114,6,2,2,0,133.326167,0.208322,3249.765438,539551.856818,65709,12201.5,627662,23000
29,000202,11001000202,5425,5294,4705,159,5,375,3,47,33,16,76,7,343,4438,150,3,370,3,12,27,14,68,6,5061,4384,155,4,360,3,43,26,15,65,7,320,4132,146,3,355,3,10,22,14,59,6,2143,1933,210,305.039464,0.476624,6742.459377,1234450.922435,379656242,116867,244019719,95033.5
30,000300,11001000300,6233,6076,5497,139,11,352,1,76,48,20,93,9,404,5186,135,10,348,1,10,44,18,89,9,5542,4900,123,9,323,1,71,36,21,60,7,344,4644,121,8,319,1,8,32,16,59,7,2912,2754,158,252.603196,0.394693,4077.691319,1022248.871354,274689743,66914.5,306388942,58822
31,000400,11001000400,1455,1428,1247,50,2,103,0,26,9,2,15,1,123,1149,46,1,103,0,12,6,2,15,1,1218,1032,43,2,100,0,23,7,1,10,1,104,949,39,1,100,0,10,5,1,10,1,690,636,54,378.382824,0.591223,5949.909534,1531260.972011,244811632,104934,130390459,110621
32,000501,11001000501,3376,3267,2853,124,7,249,1,33,32,18,64,3,231,2689,122,3,246,1,4,18,9,60,3,3195,2729,114,5,232,1,28,25,17,47,3,201,2585,112,3,229,1,2,13,9,45,3,2186,2027,159,233.384264,0.364663,6813.633099,944472.61226,157450900,65919,182269099,68973
33,007304,11001007304,3546,3513,41,3443,10,7,1,11,32,13,8,2,38,40,3420,9,7,1,3,27,13,8,2,2429,39,2347,6,7,1,10,18,9,4,2,24,38,2333,5,7,1,3,17,9,4,2,1376,1198,178,308.98569,0.48279,5527.038453,1250420.731467,36698222,22766,39995849.95,20922
34,007401,11001007401,2414,2393,17,2349,10,5,0,12,21,10,4,1,31,15,2342,8,5,0,0,13,6,4,1,1468,14,1425,7,4,0,8,10,4,1,1,20,12,1422,5,4,0,0,5,3,1,1,935,771,164,357.737775,0.558965,6378.842229,1447713.422577,16271306,18377.5,17706306,16504.5
35,007403,11001007403,2859,2835,12,2811,4,7,0,1,24,7,8,0,24,12,2792,2,6,0,0,23,7,8,0,1956,11,1918,3,7,0,1,16,4,6,0,12,11,1910,2,6,0,0,15,4,6,0,1180,1092,88,80.582071,0.125909,3174.081577,326104.072368,26534651,24468,27739508,22754
36,007404,11001007404,3310,3246,41,3165,4,8,0,28,58,34,9,2,64,31,3147,2,8,0,4,52,31,9,2,2100,29,2003,4,7,0,17,37,16,8,2,36,24,1993,2,7,0,2,35,15,8,2,1308,1106,202,199.124055,0.311131,4988.203673,805826.464222,35852862,26372,41892503,24785.5
37,007406,11001007406,3063,3028,20,2984,5,2,0,17,35,13,4,3,71,11,2950,5,2,0,4,20,11,2,1,1830,14,1779,3,2,0,11,21,10,3,2,35,10,1764,3,2,0,3,13,9,2,1,1066,985,81,91.354313,0.142741,2600.357547,369697.788765,18379045,19594.5,22222673,18214.5
38,007407,11001007407,2587,2551,32,2499,3,11,0,6,35,14,1,1,36,32,2469,3,11,0,3,33,14,1,1,1850,30,1778,3,7,0,5,26,11,1,1,22,30,1762,3,7,0,2,24,11,1,1,1203,1090,113,150.888962,0.235764,4692.193111,610625.968254,39030200,30728,43791436,29333.5
39,007408,11001007408,3038,3010,32,2964,7,4,0,3,28,15,0,1,32,26,2939,7,4,0,2,28,15,0,1,2027,27,1970,6,3,0,3,18,12,0,1,20,24,1954,6,3,0,2,18,12,0,1,1239,1053,186,94.491008,0.147642,3911.211868,382391.546224,21984988,20813,22774343,18636
40,007409,11001007409,3499,3455,20,3417,3,6,0,9,44,26,6,0,34,12,3399,3,6,0,4,41,25,6,0,2291,16,2229,2,4,0,9,31,21,5,0,23,10,2219,2,4,0,4,29,20,5,0,1507,1417,90,98.284961,0.15357,3046.210809,397745.127479,39191696,24851,40482342,21349.5
41,007502,11001007502,4541,4454,43,4380,4,8,0,19,86,35,22,3,57,34,4357,4,8,0,10,70,30,19,1,3251,41,3121,4,8,0,16,60,24,15,1,41,32,3107,4,8,0,8,50,20,12,1,1898,1677,221,152.149812,0.237734,4792.907479,615728.446798,45577412,25027,50022193.2,24720
42,004600,11001004600,3028,2929,816,1964,3,97,0,49,60,20,42,7,221,697,1929,3,96,0,7,45,14,36,5,2537,757,1560,3,94,0,39,53,16,35,6,167,668,1533,3,93,0,6,42,11,33,5,1465,1268,197,107.964625,0.168695,2900.631832,436917.338248,60318054,36871,93634428,41045
43,004701,11001004701,3986,3919,595,2754,19,530,1,20,45,27,23,4,108,549,2725,13,527,1,3,39,24,23,4,3066,580,1923,17,469,1,20,36,20,21,4,98,536,1900,12,466,1,3,31,18,21,4,2138,2002,136,79.374746,0.124023,2917.412572,321218.203506,62945849,27406,104928195,36630
44,004702,11001004702,1802,1742,703,853,0,158,1,27,35,14,21,1,95,659,844,0,158,1,5,24,8,16,1,1647,693,724,0,157,1,21,31,11,17,1,84,649,716,0,157,1,4,22,8,14,1,988,922,66,80.186298,0.125291,2950.758095,324502.438579,68048639,59074,106167879,69010
45,004801,11001004801,2143,2045,847,961,9,123,5,100,50,24,50,2,191,776,952,6,123,0,10,48,19,48,2,1934,816,829,9,113,3,80,43,22,41,2,166,752,820,6,113,0,5,41,17,39,2,1208,1078,130,78.446069,0.122572,2458.972701,317459.981365,63801222,47244,99227482,52484
46,004802,11001004802,2922,2845,866,1464,16,369,1,129,48,31,20,1,223,793,1457,9,368,0,6,45,30,18,1,2492,830,1176,13,303,1,106,36,26,19,0,186,767,1171,9,302,0,4,33,24,17,0,1561,1382,179,71.190592,0.111235,2192.317601,288098.105371,73241336.7,33975.5,115913258,41981
47,004901,11001004901,2087,2036,793,1075,14,94,1,59,30,13,21,0,178,686,1060,12,94,1,16,24,11,21,0,1696,730,794,14,80,1,38,23,12,16,0,128,652,786,12,80,1,5,19,11,16,0,1094,971,123,67.177931,0.104966,2112.98851,271859.44485,52574029,35398,77147230,44409
48,004902,11001004902,2690,2615,1330,812,11,166,6,290,21,9,26,6,468,1193,805,4,166,1,11,16,8,22,6,2354,1281,615,8,162,4,220,18,9,23,5,375,1162,610,3,162,1,5,14,8,20,5,1530,1417,113,65.20096,0.101877,2052.282436,263858.924567,98407326,44608.5,123680131,52213.5
49,005001,11001005001,1955,1893,1259,484,3,92,0,55,25,8,30,2,169,1161,474,1,92,0,9,23,8,25,0,1802,1195,429,3,87,0,42,22,8,21,0,140,1108,419,1,87,0,8,20,8,18,0,1003,952,51,50.590061,0.079047,2114.927043,204730.715389,94309397,67622,124100006,74090
50,005002,11001005002,6021,5799,3225,1152,33,328,5,1056,75,39,79,4,1676,2737,1120,15,326,4,15,50,27,73,4,5480,3128,1037,27,305,5,790,61,37,63,3,1340,2693,1008,15,303,4,8,42,27,58,3,3853,3475,378,57.695947,0.09015,2245.140851,233487.214066,192352559,39733,266261760,53208
51,005201,11001005201,6077,5878,4398,775,20,442,19,224,65,47,99,8,612,4079,757,9,438,3,18,58,32,91,8,5811,4305,672,20,429,15,197,56,45,82,7,562,3999,656,9,425,3,16,49,32,78,7,4548,4200,348,83.935882,0.13115,2661.842057,339676.463216,268298733,66130,401961716,75149
52,005301,11001005301,5051,4902,4121,179,17,455,4,126,37,24,96,4,432,3847,171,7,451,2,16,29,19,92,4,4920,4039,169,16,442,4,116,34,22,84,4,413,3770,163,7,438,2,16,27,17,80,4,3890,3608,282,70.763342,0.110568,2322.239748,286369.08778,226732166,64826,288225330,72068
53,005500,11001005500,6671,6454,5135,628,18,590,1,82,63,37,121,10,493,4752,613,13,586,1,24,58,30,117,10,6476,5000,611,17,574,1,76,57,36,108,10,474,4628,597,13,570,1,18,53,30,106,10,4983,4185,798,157.525518,0.246134,3987.966398,637483.15881,333923999,73032,409244354,78901.5
54,005600,11001005600,6756,6523,5107,517,13,797,0,89,105,47,130,7,428,4810,495,11,794,0,17,96,42,119,7,6629,5031,506,13,785,0,85,98,47,110,7,414,4742,484,11,782,0,17,89,42,100,7,4059,3347,712,117.38224,0.18341,4364.539699,475029.075784,167255800,63663,192250360,61943.5
55,005800,11001005800,2830,2737,1806,265,7,602,4,53,29,17,46,6,180,1698,262,7,600,4,1,21,16,46,6,2710,1759,254,7,563,4,42,24,17,39,6,161,1656,251,7,561,4,1,19,16,39,6,2306,1810,496,225.041999,0.351628,4111.144016,910712.662854,119511652,83192,175823623,89328
56,005900,11001005900,2998,2922,1712,826,9,280,1,94,37,15,29,2,223,1617,806,9,278,1,7,25,13,25,1,2885,1695,752,7,278,1,83,31,14,27,2,207,1603,732,7,276,1,7,21,12,23,1,1868,1523,345,159.092895,0.248583,3377.371983,643826.107084,55624517.13,46136,89285287,47249
57,006202,11001006202,33,33,7,25,0,1,0,0,0,0,0,0,0,7,25,0,1,0,0,0,0,0,0,29,7,21,0,1,0,0,0,0,0,0,0,7,21,0,1,0,0,0,0,0,0,8,8,0,2821.333501,4.408334,27060.07099,11417531.666433,128235,102705,554878,52548
58,006400,11001006400,2139,2095,142,1860,24,38,0,31,37,22,7,3,65,133,1839,24,38,0,3,32,17,7,3,1565,136,1330,13,26,0,22,31,18,7,3,49,127,1318,13,26,0,1,26,13,7,3,1055,977,78,226.475149,0.353867,4676.886797,916512.417609,22543116,21222,36959590,25016
59,006600,11001006600,1909,1876,1718,58,11,70,1,18,15,8,14,1,78,1659,56,10,70,1,4,14,8,13,1,1680,1525,50,10,58,1,15,10,7,9,0,60,1482,48,10,58,1,2,9,7,8,0,1143,1016,127,73.195286,0.114368,2663.238244,296210.814551,106170076,88338,117490965,80400
60,006700,11001006700,3775,3679,3077,452,11,114,2,23,33,23,48,4,147,2965,447,10,113,2,10,28,17,45,4,3283,2703,389,9,98,2,20,23,22,25,3,121,2609,386,9,97,2,8,18,17,24,3,2008,1866,142,105.82744,0.165355,3020.444037,428268.458888,217100355,85648,233122093,83000
61,006801,11001006801,1949,1893,647,1192,3,31,0,20,30,12,25,1,74,607,1183,2,31,0,3,24,11,25,1,1687,574,1016,3,30,0,18,25,11,19,1,61,539,1011,2,30,0,3,21,10,18,1,977,880,97,60.434956,0.09443,2060.756247,244571.592742,52747534,48014,76178458,51207.5
62,006802,11001006802,2084,2029,937,1022,6,38,0,26,37,14,24,0,94,894,1009,5,36,0,8,22,8,21,0,1754,804,856,6,31,0,18,26,11,16,0,71,766,850,5,31,0,3,17,8,14,0,1004,921,83,69.835546,0.109118,2545.70931,282614.430576,73798559,58385,96128685,63716
63,006804,11001006804,3670,3567,187,3225,29,21,1,104,75,41,25,11,315,91,3138,24,21,0,8,64,33,19,5,3396,186,2965,25,20,1,101,70,36,21,11,296,91,2894,20,20,0,7,59,28,15,5,13,12,1,499.917084,0.78112,6734.287255,2023092.673373,1427126,31692,1403283,15698
64,006900,11001006900,2179,2121,1404,636,7,61,2,11,11,13,35,2,87,1340,630,6,61,2,6,9,6,32,2,1888,1234,548,6,52,2,7,9,10,23,1,68,1180,545,5,52,2,2,7,6,22,1,1190,1114,76,101.377485,0.158402,2860.13228,410260.129911,96831762,74417,117789037,79464.5
65,007000,11001007000,2812,2748,2209,433,8,65,4,29,23,11,31,3,162,2093,423,7,64,4,9,20,9,27,2,2596,2074,378,8,61,4,24,18,11,19,3,144,1968,371,7,60,4,5,16,9,18,2,1268,1195,73,103.877049,0.162308,2909.008064,420375.507393,105497762,75046.5,113568529,74503
66,007100,11001007100,2911,2807,977,1703,15,72,0,40,44,31,39,2,158,898,1691,15,71,0,7,36,21,32,2,2289,895,1209,12,70,0,31,32,26,24,2,119,830,1201,12,69,0,6,29,17,20,2,1461,1342,119,180.708232,0.282357,3852.778052,731300.275476,73551776,42529,90074658,44333
67,000600,11001000600,4539,4395,3878,225,10,207,2,73,51,23,65,9,332,3647,217,6,204,2,13,41,24,61,4,3812,3273,207,9,177,2,59,23,19,37,8,272,3087,199,6,176,2,4,18,18,36,3,2234,2108,126,356.513068,0.557052,5202.370432,1442757.206758,882856096,87171,413850238,81528.5
68,000701,11001000701,4620,4502,3848,235,18,288,4,109,37,13,60,13,407,3583,215,8,285,4,27,30,10,55,9,4255,3586,212,15,266,3,84,27,12,46,7,354,3342,198,7,263,3,17,20,9,42,7,3275,2974,301,135.861574,0.212284,3198.46539,549812.287649,268583555,68493,265927884,68775
69,000702,11001000702,3364,3259,2751,192,7,224,1,84,31,18,54,3,357,2511,180,3,217,1,16,25,9,49,2,3205,2642,183,7,211,1,69,26,15,48,2,318,2426,172,3,204,1,11,22,8,44,1,2471,2293,178,72.373837,0.113084,2738.796618,292886.528547,86235734,50407,121237434,56357.5
70,000801,11001000801,6709,6526,5719,316,5,374,1,111,58,13,118,5,572,5284,299,3,372,1,27,48,15,97,5,5691,4880,278,5,325,0,86,36,19,73,5,476,4506,266,3,323,0,18,30,15,69,5,3528,3207,321,760.09512,1.187649,8440.167935,3075995.837565,556165589,97849.5,429046240,94346
71,000802,11001000802,2869,2775,2390,107,4,232,2,40,23,8,62,3,231,2211,98,3,232,2,10,19,6,61,3,2438,2043,89,4,207,2,34,17,8,32,3,187,1898,86,3,207,2,6,14,6,31,3,1423,1336,87,563.044316,0.879757,6636.141912,2278559.521435,211883023,89712.5,240968712,78663
72,000901,11001000901,7175,6946,6135,260,16,451,3,81,55,23,152,13,436,5807,249,12,447,3,22,52,22,138,10,6130,5204,233,16,432,3,64,40,22,117,13,382,4919,224,12,428,3,12,38,19,106,10,1661,1558,103,748.364124,1.169319,7095.702947,3028522.180621,610398683,166298,443181730,138978.5
73,001803,11001001803,3514,3401,354,2372,7,73,8,587,62,28,14,5,838,190,2340,4,72,8,14,44,27,7,5,2826,277,1988,5,60,5,407,50,25,11,3,581,162,1966,4,59,5,10,36,24,6,3,1612,1543,69,289.174493,0.451835,4709.910531,1170247.662996,69030385,25312,76833849,26235
74,001804,11001001804,4480,4310,549,2983,20,51,0,707,74,45,18,11,1211,185,2933,8,51,0,22,56,22,17,8,3461,401,2408,15,42,0,471,61,36,10,10,835,153,2368,7,42,0,6,44,21,9,7,1924,1812,112,148.68792,0.232325,3404.953403,601718.669088,90687018.37,26365,101095037,26535.5
75,001901,11001001901,4016,3887,424,3023,31,36,3,370,99,56,19,3,625,285,2965,12,29,3,3,87,46,16,3,3190,342,2460,27,30,3,241,64,43,17,3,421,242,2418,11,27,3,2,59,34,14,3,1603,1503,100,190.041207,0.296939,3629.655443,769069.481664,89722055.5,36750,96561062,37420
76,000902,11001000902,2092,2021,1861,67,4,77,1,11,28,12,40,2,107,1776,63,3,77,1,5,22,9,37,2,1544,1388,50,1,67,1,7,9,8,16,2,71,1327,48,1,67,1,4,7,6,15,2,862,833,29,538.801955,0.841878,8704.287793,2180454.165696,218882503,121032,176273097,113487
77,003301,11001003301,3198,3072,959,1998,7,62,4,42,86,38,42,7,125,898,1972,6,62,3,17,80,36,41,7,2828,898,1724,6,61,4,38,64,26,35,7,111,846,1699,6,61,3,15,59,24,35,7,1578,1405,173,108.630219,0.169735,3304.154907,439610.901783,94626938,50955.5,118997087,52263
78,003302,11001003302,2134,2054,735,1216,7,41,0,55,57,21,20,0,128,687,1197,7,41,0,2,52,20,19,0,1856,695,1002,7,41,0,51,37,18,17,0,113,654,985,7,41,0,2,34,17,16,0,982,887,95,49.077352,0.076683,1890.785622,198608.997138,59721428.37,46371,82445643.83,51120
79,008804,11001008804,2412,2375,106,2183,7,3,0,76,31,12,12,0,130,68,2167,7,3,0,2,30,12,12,0,1883,87,1706,6,3,0,53,22,11,8,0,87,65,1694,6,3,0,2,21,11,8,0,1396,1096,300,194.505405,0.303915,3936.333064,787135.451864,27927495,24539,32464257.52,25106.5
80,008903,11001008903,2633,2591,48,2493,4,7,0,39,38,20,5,1,67,37,2481,3,7,0,5,31,18,5,1,1992,39,1884,4,7,0,29,25,11,2,1,49,31,1877,3,7,0,3,20,10,2,1,1399,1150,249,74.003848,0.115631,2991.03481,299482.950951,33732629,25168,50045860,29334
81,008904,11001008904,3309,3249,33,3170,8,10,1,27,59,30,11,2,61,27,3154,8,10,0,0,48,27,8,1,2569,32,2461,8,8,1,20,38,19,6,1,46,26,2448,8,8,0,0,32,17,5,1,1788,1539,249,112.80696,0.176261,3121.43913,456513.57448,31336668.91,23070.5,38466036.9,23445
82,009000,11001009000,2732,2648,113,2431,6,68,0,30,74,31,19,1,76,100,2412,5,68,0,3,64,31,16,1,2430,104,2170,6,58,0,22,62,30,13,1,57,95,2156,5,58,0,2,54,30,11,1,1646,1553,93,359.719547,0.562062,5394.277842,1455733.368659,56150253,43111,65837807.73,47746
83,009102,11001009102,4127,4056,117,3820,11,13,0,95,51,20,9,3,173,95,3784,8,13,0,11,40,19,9,3,3039,107,2795,9,12,0,72,30,15,4,3,113,92,2778,7,12,0,7,27,15,4,3,1854,1662,192,453.503991,0.7086,6339.304691,1835265.550179,60148337,28156,77312944,28794
84,009201,11001009201,1976,1905,737,1019,4,51,1,93,41,18,21,5,185,666,1006,3,50,1,13,37,14,18,5,1758,718,862,3,48,1,66,33,14,19,4,151,658,849,2,47,1,7,29,10,16,4,619,570,49,158.337931,0.247403,3334.446804,640770.875124,28052728.79,37114,45375827.82,38115
85,009203,11001009203,2582,2519,280,2117,7,40,2,73,57,22,5,4,167,247,2079,5,34,2,8,36,20,5,4,2109,260,1709,7,33,2,48,44,18,4,4,117,234,1683,5,30,2,4,30,16,4,4,1259,1065,194,145.121157,0.226752,3471.344052,587284.489542,48343832,32780,62405590,35161
86,009204,11001009204,2557,2503,170,2062,25,14,0,232,36,30,5,1,318,130,2044,8,14,0,4,32,26,5,1,2028,159,1638,24,14,0,152,30,23,5,1,216,126,1628,8,14,0,3,26,22,5,1,1369,1292,77,74.884333,0.117007,2526.496186,303046.147344,28552707,26231,34706643,26124
87,007200,11001007200,2794,2709,1670,862,4,144,0,29,38,20,30,6,155,1569,851,3,143,0,3,34,18,30,6,2658,1617,793,4,138,0,29,34,18,27,6,151,1518,782,3,137,0,3,31,17,27,6,2370,1830,540,405.667503,0.633855,5365.257137,1641678.14769,107909588,64030,186295174,70045
88,007301,11001007301,3012,2818,1791,767,21,110,13,116,106,26,72,31,391,1605,717,18,102,13,10,87,21,67,29,2064,1293,511,18,81,11,76,38,17,25,12,236,1167,487,15,78,11,5,33,15,23,12,991,812,179,2439.892023,3.812331,17862.988472,9873892.76213,1673140,34010,3361568,40680
89,002301,11001002301,2974,2899,474,2137,20,37,2,229,44,15,12,18,402,371,2113,7,37,0,5,29,15,11,1,2398,416,1728,13,28,2,156,28,14,10,15,285,337,1710,6,28,0,4,18,14,9,1,1168,1069,99,101.948116,0.159294,2865.391245,412569.389844,66417176,37400,84654482,37194.5
