OBJECTID,Name,ADDRESS,X,Y,ADDRID
84,THE VELVET LOUNGE,915 U STREET NW,397860.66,138814.9,239442
85,TIMEHRI,2439 18TH STREET NW,396357.78,139294.24,235584
86,TOKA CAFÉ ,1140 19TH STREET NW,396193.86,137456.2,241076
87,TOWN DANCEBOTIQUE,2009 8TH STREET NW,398032.06,138804.48,242769
88,TROPICALIA,2001 14TH STREET NW,397248.69,138809.3,240357
89,TURNTABLES,5802 GEORGIA AVENUE NW,397539.03,143596.07,253164
90,TUSCANA LOUNGE,1350 I STREET NW,397285.16,137019.84,240651
91,U STREET MUSIC HALL,1115 U STREET NW,397591.88,138810.97,309088
92,ULTRABAR ,911 F STREET NW,397864.27,136644.3,242797
93,VEGAS LOUNGE,1415 P STREET NW,397170.97,138000.2,279146
94,VENUS,15 K STREET NE,399321.23,137152.4,62711
95,ZIEGFELD'S SECRETS,1824 HALF STREET SW,399105.65,133294.7,277759
96,Zeba Bar,3423 14TH STREET NW,397184.94,140483.78,230874
