OBJECTID,LICENSE,APPLICANT,TRADE_NAME,ENDORSEMENTS,DESCRIPTIO,CLASS,ADDRESS,ADDRID,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,STATUS,TYPE,X,Y,WARD,ZIPCODE
1034,ABRA-078514,"Eugene, Inc.",Roland's of Capitol Hill,,Retail - Grocery,B,333 PENNSYLVANIA AVENUE SE,278374,,,,,,,,Active,Retail - Grocery,399915.34,135387.41,Ward 6,20003
1035,ABRA-078591,Kono K. Gemechu,Kearney's Grocery,,Retail - Grocery,B,90 O STREET NW,237035,,,,,,,,Active,Retail - Grocery,398967.76,137841.85,Ward 5,20001
1036,ABRA-078677,"Wilkinson-Mehr Group, LLC",Pete's New Haven Style Apizza,,Restaurant,D,1400 IRVING STREET NW,302718,,,,,CHECKED,,,Active,Restaurant,397084.72,140072.09,Ward 1,20010
1037,ABRA-077988,"Safeway, Inc.",Safeway,,Retail - Grocery,B,6500 PINEY BRANCH ROAD NW,285341,,,,,,CHECKED,,Active,Retail - Grocery,397699.34,144623.03,Ward 4,20012
1038,ABRA-078013,"JH & YJ, Inc.",Fairfax Liquors,,Retail - Liquor Store,A,3851 PENNSYLVANIA AVENUE SE,295905,,,,,,CHECKED,,Active,Retail - Liquor Store,404255.19,133012.5,Ward 7,20020
1039,ABRA-078014,"R&P Enterprises, LLC",Tenley Wine & Liquors,,Retail - Liquor Store,A,4525 WISCONSIN AVENUE NW,284935,,,,,,CHECKED,,Active,Retail - Liquor Store,393087.18,142315.72,Ward 3,20016
1040,ABRA-078015,"727, Inc.",727 Market,,Retail - Grocery,B,2820 GEORGIA AVENUE NW,232553,,,,,,,,Active,Retail - Grocery,397992.73,139870.39,Ward 1,20001
1041,ABRA-078028,"Box 20, Inc.",Darlington House: Cantina/Kitchen/Library,,Restaurant,C,1610 20TH STREET NW,242595,,CHECKED,,CHECKED,,,,Active,Restaurant,396081.08,138197.13,Ward 2,20009
1042,ABRA-078085,"Glover Park F & B, LLC",Breadsoda,,Restaurant,C,2233 WISCONSIN AVENUE NW,284312,,CHECKED,,CHECKED,CHECKED,,,Active,Restaurant,393862.34,139121.26,Ward 3,20007
1043,ABRA-078174,"Y&D&S, Inc.",Sammys Liquor,,Retail - Liquor Store,A,2725 BLADENSBURG ROAD NE,45109,,,,,,CHECKED,,Active,Retail - Liquor Store,403016.84,139664.21,Ward 5,20018
